id,t,treated,fte,bk,kfc,roys,wendys
1,0,NJ,31,1,0,0,0
1,1,NJ,40,1,0,0,0
2,0,NJ,13,1,0,0,0
2,1,NJ,12.5,1,0,0,0
3,0,NJ,12.5,0,1,0,0
3,1,NJ,7.5,0,1,0,0
4,0,NJ,16,0,0,1,0
4,1,NJ,20,0,0,1,0
5,0,NJ,20,0,0,1,0
5,1,NJ,25,0,0,1,0
6,0,NJ,3,0,0,1,0
6,1,NJ,6,0,0,1,0
8,0,NJ,,0,0,0,1
8,1,NJ,27.5,0,0,0,1
9,0,NJ,32,1,0,0,0
9,1,NJ,16,1,0,0,0
10,0,NJ,25,1,0,0,0
10,1,NJ,22.5,1,0,0,0
11,0,NJ,25,1,0,0,0
11,1,NJ,24,1,0,0,0
12,0,NJ,18.25,1,0,0,0
12,1,NJ,22.5,1,0,0,0
13,0,NJ,12.5,0,1,0,0
13,1,NJ,7.5,0,1,0,0
14,0,NJ,14,0,1,0,0
14,1,NJ,12.5,0,1,0,0
15,0,NJ,15.5,0,0,1,0
15,1,NJ,15,0,0,1,0
16,0,NJ,17,0,0,1,0
16,1,NJ,15.5,0,0,1,0
17,0,NJ,10,0,0,1,0
17,1,NJ,21.5,0,0,1,0
18,0,NJ,27.5,0,0,1,0
18,1,NJ,27,0,0,1,0
19,0,NJ,19.5,1,0,0,0
19,1,NJ,28,1,0,0,0
21,0,NJ,11,0,1,0,0
21,1,NJ,5.5,0,1,0,0
22,0,NJ,10.5,0,0,1,0
22,1,NJ,10.5,0,0,1,0
23,0,NJ,12.5,1,0,0,0
23,1,NJ,21,1,0,0,0
24,0,NJ,22.5,1,0,0,0
24,1,NJ,25,1,0,0,0
26,0,NJ,37.5,1,0,0,0
26,1,NJ,20,1,0,0,0
27,0,NJ,9,0,1,0,0
27,1,NJ,3.5,0,1,0,0
28,0,NJ,7,0,1,0,0
28,1,NJ,7,0,1,0,0
29,0,NJ,3.5,0,1,0,0
29,1,NJ,6.5,0,1,0,0
30,0,NJ,8,0,1,0,0
30,1,NJ,5.5,0,1,0,0
31,0,NJ,12,0,1,0,0
31,1,NJ,13.5,0,1,0,0
32,0,NJ,20.25,0,0,1,0
32,1,NJ,14.5,0,0,1,0
33,0,NJ,22,0,0,1,0
33,1,NJ,11.5,0,0,1,0
34,0,NJ,12.5,0,0,1,0
34,1,NJ,14.5,0,0,1,0
35,0,NJ,28.25,0,0,0,1
35,1,NJ,22,0,0,0,1
36,0,NJ,14,0,0,0,1
36,1,NJ,27.5,0,0,0,1
37,0,PA,25.5,1,0,0,0
37,1,PA,18.5,1,0,0,0
38,0,NJ,25,1,0,0,0
38,1,NJ,20,1,0,0,0
39,0,PA,17,1,0,0,0
39,1,PA,12.5,1,0,0,0
40,0,PA,20,1,0,0,0
40,1,PA,19.5,1,0,0,0
41,0,PA,13.5,1,0,0,0
41,1,PA,21,1,0,0,0
42,0,PA,19,1,0,0,0
42,1,PA,11,1,0,0,0
45,0,PA,12,1,0,0,0
45,1,PA,17,1,0,0,0
46,0,PA,37.5,1,0,0,0
46,1,PA,21,1,0,0,0
47,0,PA,32.5,1,0,0,0
47,1,PA,22.5,1,0,0,0
48,0,PA,16,1,0,0,0
48,1,PA,20,1,0,0,0
49,0,PA,9.75,0,1,0,0
49,1,PA,7.5,0,1,0,0
50,0,PA,11,0,1,0,0
50,1,PA,14,0,1,0,0
51,0,PA,7.5,0,1,0,0
51,1,PA,13.5,0,1,0,0
56,0,PA,30,0,0,0,1
56,1,PA,18,0,0,0,1
57,0,PA,35,0,0,0,1
57,1,PA,16,0,0,0,1
58,0,PA,20.5,0,0,0,1
58,1,PA,14,0,0,0,1
59,0,PA,7.5,0,0,0,1
59,1,PA,8,0,0,0,1
60,0,PA,20,0,0,0,1
60,1,PA,20,0,0,0,1
61,0,PA,19,0,0,0,1
61,1,PA,29.5,0,0,0,1
62,0,PA,15.5,0,0,0,1
62,1,PA,,0,0,0,1
63,0,NJ,29,1,0,0,0
63,1,NJ,20,1,0,0,0
64,0,NJ,27.5,1,0,0,0
64,1,NJ,19.5,1,0,0,0
65,0,NJ,10,1,0,0,0
65,1,NJ,,1,0,0,0
66,0,NJ,24,1,0,0,0
66,1,NJ,31,1,0,0,0
67,0,NJ,12.5,1,0,0,0
67,1,NJ,12.75,1,0,0,0
68,0,NJ,35,1,0,0,0
68,1,NJ,21.5,1,0,0,0
69,0,NJ,13.5,1,0,0,0
69,1,NJ,13.5,1,0,0,0
70,0,NJ,45,1,0,0,0
70,1,NJ,25,1,0,0,0
71,0,NJ,17.5,1,0,0,0
71,1,NJ,36,1,0,0,0
73,0,NJ,3.5,0,1,0,0
73,1,NJ,14,0,1,0,0
75,0,NJ,10.5,0,1,0,0
75,1,NJ,9.5,0,1,0,0
76,0,NJ,24,0,0,1,0
76,1,NJ,32.5,0,0,1,0
77,0,NJ,31,0,0,1,0
77,1,NJ,34,0,0,1,0
78,0,NJ,18,0,0,1,0
78,1,NJ,16,0,0,1,0
79,0,NJ,18.5,0,0,1,0
79,1,NJ,17,0,0,1,0
80,0,NJ,14.5,0,0,0,1
80,1,NJ,18,0,0,0,1
81,0,NJ,31.5,0,0,0,1
81,1,NJ,22.5,0,0,0,1
82,0,NJ,15.25,0,0,0,1
82,1,NJ,29,0,0,0,1
83,0,NJ,22.5,0,0,0,1
83,1,NJ,,0,0,0,1
84,0,NJ,19,1,0,0,0
84,1,NJ,27,1,0,0,0
85,0,NJ,17,1,0,0,0
85,1,NJ,17.5,1,0,0,0
86,0,NJ,16.5,1,0,0,0
86,1,NJ,15,1,0,0,0
87,0,NJ,7.5,1,0,0,0
87,1,NJ,15,1,0,0,0
88,0,NJ,20.5,1,0,0,0
88,1,NJ,22.5,1,0,0,0
89,0,NJ,13,1,0,0,0
89,1,NJ,18.5,1,0,0,0
91,0,NJ,19,1,0,0,0
91,1,NJ,15,1,0,0,0
92,0,NJ,13,1,0,0,0
92,1,NJ,17,1,0,0,0
93,0,NJ,17.5,1,0,0,0
93,1,NJ,17.5,1,0,0,0
94,0,NJ,12.5,0,1,0,0
94,1,NJ,12,0,1,0,0
95,0,NJ,19.5,0,1,0,0
95,1,NJ,7,0,1,0,0
96,0,NJ,7.5,0,1,0,0
96,1,NJ,7.5,0,1,0,0
97,0,NJ,6,0,1,0,0
97,1,NJ,8,0,1,0,0
98,0,NJ,10,0,1,0,0
98,1,NJ,9.5,0,1,0,0
99,0,NJ,80,0,0,1,0
99,1,NJ,55,0,0,1,0
101,0,NJ,12,0,0,1,0
101,1,NJ,16,0,0,1,0
102,0,NJ,18.5,0,0,1,0
102,1,NJ,13.5,0,0,1,0
103,0,NJ,17.5,0,0,0,1
103,1,NJ,,0,0,0,1
104,0,NJ,50,0,0,0,1
104,1,NJ,16,0,0,0,1
105,0,NJ,20,1,0,0,0
105,1,NJ,22.5,1,0,0,0
106,0,NJ,17.5,1,0,0,0
106,1,NJ,14.5,1,0,0,0
107,0,NJ,11.5,1,0,0,0
107,1,NJ,18.5,1,0,0,0
108,0,NJ,21,1,0,0,0
108,1,NJ,23,1,0,0,0
111,0,NJ,24,0,0,1,0
111,1,NJ,27.25,0,0,1,0
112,0,NJ,17,0,0,0,1
112,1,NJ,17.5,0,0,0,1
113,0,NJ,11,1,0,0,0
113,1,NJ,22,1,0,0,0
114,0,NJ,17.5,1,0,0,0
114,1,NJ,40,1,0,0,0
115,0,NJ,32.5,1,0,0,0
115,1,NJ,13.5,1,0,0,0
116,0,NJ,15.25,1,0,0,0
116,1,NJ,28,1,0,0,0
118,0,NJ,17.5,1,0,0,0
118,1,NJ,28,1,0,0,0
119,0,NJ,21.5,1,0,0,0
119,1,NJ,24.5,1,0,0,0
120,0,NJ,16,1,0,0,0
120,1,NJ,15,1,0,0,0
122,0,NJ,20,1,0,0,0
122,1,NJ,35,1,0,0,0
123,0,NJ,10,1,0,0,0
123,1,NJ,17.5,1,0,0,0
124,0,NJ,13,1,0,0,0
124,1,NJ,24,1,0,0,0
125,0,NJ,15,0,1,0,0
125,1,NJ,7.5,0,1,0,0
128,0,NJ,10.25,0,1,0,0
128,1,NJ,11,0,1,0,0
129,0,NJ,30,0,0,1,0
129,1,NJ,16,0,0,1,0
130,0,NJ,19.75,0,0,1,0
130,1,NJ,21,0,0,1,0
131,0,NJ,27.5,0,0,1,0
131,1,NJ,19,0,0,1,0
132,0,NJ,30,0,0,1,0
132,1,NJ,25,0,0,1,0
133,0,NJ,14,0,0,1,0
133,1,NJ,13,0,0,1,0
134,0,NJ,18,0,0,1,0
134,1,NJ,19.75,0,0,1,0
135,0,NJ,20,0,0,1,0
135,1,NJ,20,0,0,1,0
136,0,NJ,21.75,0,0,1,0
136,1,NJ,,0,0,1,0
137,0,NJ,27.5,0,0,1,0
137,1,NJ,27,0,0,1,0
138,0,NJ,17.25,0,0,1,0
138,1,NJ,18.5,0,0,1,0
139,0,NJ,,0,0,0,1
139,1,NJ,23.5,0,0,0,1
140,0,NJ,20,0,0,0,1
140,1,NJ,22.5,0,0,0,1
141,0,NJ,17.5,0,0,0,1
141,1,NJ,22.5,0,0,0,1
142,0,NJ,32.5,0,0,0,1
142,1,NJ,55.5,0,0,0,1
143,0,NJ,15,0,0,0,1
143,1,NJ,,0,0,0,1
144,0,NJ,25,0,0,0,1
144,1,NJ,22.5,0,0,0,1
145,0,NJ,13.5,1,0,0,0
145,1,NJ,14,1,0,0,0
146,0,NJ,18,1,0,0,0
146,1,NJ,16,1,0,0,0
147,0,NJ,11.75,1,0,0,0
147,1,NJ,6,1,0,0,0
148,0,NJ,19.5,1,0,0,0
148,1,NJ,22.5,1,0,0,0
149,0,NJ,10,1,0,0,0
149,1,NJ,13,1,0,0,0
150,0,NJ,13.75,1,0,0,0
150,1,NJ,22,1,0,0,0
151,0,NJ,7,1,0,0,0
151,1,NJ,0,1,0,0,0
152,0,NJ,42.5,1,0,0,0
152,1,NJ,18.75,1,0,0,0
153,0,NJ,12.5,1,0,0,0
153,1,NJ,31.5,1,0,0,0
156,0,NJ,15.5,1,0,0,0
156,1,NJ,11,1,0,0,0
157,0,NJ,12.5,0,1,0,0
157,1,NJ,16,0,1,0,0
158,0,NJ,5.5,0,1,0,0
158,1,NJ,5,0,1,0,0
159,0,NJ,12,0,1,0,0
159,1,NJ,12.5,0,1,0,0
161,0,NJ,20.5,0,0,1,0
161,1,NJ,32,0,0,1,0
162,0,NJ,20,0,0,1,0
162,1,NJ,18,0,0,1,0
163,0,NJ,21,0,0,1,0
163,1,NJ,18,0,0,1,0
164,0,NJ,19,0,0,1,0
164,1,NJ,12.5,0,0,1,0
165,0,NJ,25,0,0,0,1
165,1,NJ,18.5,0,0,0,1
166,0,NJ,24,0,0,0,1
166,1,NJ,17.5,0,0,0,1
168,0,NJ,15,1,0,0,0
168,1,NJ,16,1,0,0,0
169,0,NJ,28.5,1,0,0,0
169,1,NJ,23,1,0,0,0
170,0,NJ,20,1,0,0,0
170,1,NJ,30,1,0,0,0
171,0,NJ,18,1,0,0,0
171,1,NJ,16.25,1,0,0,0
172,0,NJ,12,1,0,0,0
172,1,NJ,18.5,1,0,0,0
173,0,NJ,26,1,0,0,0
173,1,NJ,26,1,0,0,0
174,0,NJ,21,1,0,0,0
174,1,NJ,30,1,0,0,0
176,0,NJ,25.5,1,0,0,0
176,1,NJ,33.75,1,0,0,0
178,0,NJ,19,0,1,0,0
178,1,NJ,6,0,1,0,0
179,0,NJ,8,0,1,0,0
179,1,NJ,7,0,1,0,0
180,0,NJ,9.5,0,1,0,0
180,1,NJ,8.75,0,1,0,0
181,0,NJ,6.5,0,1,0,0
181,1,NJ,8.5,0,1,0,0
182,0,NJ,10.5,0,1,0,0
182,1,NJ,7.5,0,1,0,0
183,0,NJ,14,0,1,0,0
183,1,NJ,20,0,1,0,0
185,0,NJ,6.5,0,1,0,0
185,1,NJ,5,0,1,0,0
186,0,NJ,20,0,0,1,0
186,1,NJ,21,0,0,1,0
187,0,NJ,14,0,0,1,0
187,1,NJ,13.75,0,0,1,0
189,0,NJ,11.5,0,0,1,0
189,1,NJ,9.5,0,0,1,0
190,0,NJ,26,0,0,1,0
190,1,NJ,22,0,0,1,0
191,0,NJ,40,0,0,0,1
191,1,NJ,12.5,0,0,0,1
192,0,NJ,25,0,0,0,1
192,1,NJ,19.5,0,0,0,1
193,0,NJ,7.5,0,0,0,1
193,1,NJ,8.5,0,0,0,1
195,0,NJ,15,0,0,0,1
195,1,NJ,20.5,0,0,0,1
196,0,NJ,17.5,0,0,0,1
196,1,NJ,15,0,0,0,1
197,0,NJ,28,1,0,0,0
197,1,NJ,15.5,1,0,0,0
198,0,NJ,,1,0,0,0
198,1,NJ,26,1,0,0,0
199,0,NJ,6,0,1,0,0
199,1,NJ,12.5,0,1,0,0
200,0,NJ,30,1,0,0,0
200,1,NJ,25,1,0,0,0
201,0,NJ,16.5,1,0,0,0
201,1,NJ,27,1,0,0,0
202,0,NJ,37,1,0,0,0
202,1,NJ,18.5,1,0,0,0
203,0,NJ,15,1,0,0,0
203,1,NJ,21,1,0,0,0
204,0,NJ,14.25,1,0,0,0
204,1,NJ,18.75,1,0,0,0
207,0,NJ,13,0,1,0,0
207,1,NJ,11.5,0,1,0,0
208,0,NJ,28,0,0,1,0
208,1,NJ,21,0,0,1,0
209,0,NJ,22,0,0,1,0
209,1,NJ,24.5,0,0,1,0
210,0,NJ,9.5,0,0,0,1
210,1,NJ,7,0,0,0,1
211,0,NJ,17,1,0,0,0
211,1,NJ,19.5,1,0,0,0
212,0,NJ,19.75,1,0,0,0
212,1,NJ,27.5,1,0,0,0
213,0,NJ,14.5,1,0,0,0
213,1,NJ,20.75,1,0,0,0
214,0,NJ,17,1,0,0,0
214,1,NJ,17.5,1,0,0,0
215,0,NJ,15,1,0,0,0
215,1,NJ,25,1,0,0,0
216,0,NJ,7.5,0,1,0,0
216,1,NJ,11,0,1,0,0
217,0,NJ,8.5,0,1,0,0
217,1,NJ,6,0,1,0,0
218,0,NJ,9,0,1,0,0
218,1,NJ,6.5,0,1,0,0
219,0,NJ,7.5,0,1,0,0
219,1,NJ,13.5,0,1,0,0
220,0,NJ,10.5,0,1,0,0
220,1,NJ,9,0,1,0,0
221,0,NJ,15,0,1,0,0
221,1,NJ,8.5,0,1,0,0
222,0,NJ,14,0,0,1,0
222,1,NJ,9.5,0,0,1,0
223,0,NJ,12,0,0,1,0
223,1,NJ,13,0,0,1,0
225,0,NJ,16.5,0,0,1,0
225,1,NJ,24.5,0,0,1,0
226,0,NJ,11,0,0,0,1
226,1,NJ,13,0,0,0,1
228,0,NJ,17.25,0,0,0,1
228,1,NJ,20.5,0,0,0,1
229,0,NJ,23,1,0,0,0
229,1,NJ,27.5,1,0,0,0
230,0,NJ,12.5,1,0,0,0
230,1,NJ,23.5,1,0,0,0
231,0,NJ,,1,0,0,0
231,1,NJ,19,1,0,0,0
232,0,NJ,21,1,0,0,0
232,1,NJ,23,1,0,0,0
233,0,NJ,22.5,1,0,0,0
233,1,NJ,18.5,1,0,0,0
234,0,NJ,5,1,0,0,0
234,1,NJ,12,1,0,0,0
235,0,NJ,13.5,1,0,0,0
235,1,NJ,,1,0,0,0
236,0,NJ,17,1,0,0,0
236,1,NJ,34,1,0,0,0
237,0,NJ,17.5,1,0,0,0
237,1,NJ,17.5,1,0,0,0
238,0,NJ,11,0,1,0,0
238,1,NJ,32.5,0,1,0,0
239,0,NJ,17,0,1,0,0
