id,t,treated,fte,bk,kfc,roys,wendys
239,1,NJ,9.5,0,1,0,0
240,0,NJ,32.5,0,0,1,0
240,1,NJ,22.5,0,0,1,0
241,0,NJ,27.5,0,0,1,0
241,1,NJ,,0,0,1,0
242,0,NJ,30,0,0,1,0
242,1,NJ,17,0,0,1,0
243,0,NJ,19.5,0,0,1,0
243,1,NJ,18,0,0,1,0
244,0,NJ,27,0,0,1,0
244,1,NJ,22,0,0,1,0
245,0,NJ,19,0,0,1,0
245,1,NJ,14,0,0,1,0
247,0,NJ,20,0,0,0,1
247,1,NJ,20,0,0,0,1
248,0,NJ,16,0,0,0,1
248,1,NJ,17,0,0,0,1
249,0,NJ,9,1,0,0,0
249,1,NJ,16,1,0,0,0
250,0,NJ,3,0,1,0,0
250,1,NJ,4,0,1,0,0
253,0,NJ,10.5,0,0,1,0
253,1,NJ,8,0,0,1,0
254,0,NJ,25,0,0,0,1
254,1,NJ,33,0,0,0,1
255,0,NJ,7,0,0,0,1
255,1,NJ,14,0,0,0,1
257,0,NJ,25,1,0,0,0
257,1,NJ,,1,0,0,0
258,0,NJ,15,1,0,0,0
258,1,NJ,29,1,0,0,0
259,0,NJ,19,1,0,0,0
259,1,NJ,22.5,1,0,0,0
260,0,NJ,20,1,0,0,0
260,1,NJ,17,1,0,0,0
262,0,NJ,13.5,1,0,0,0
262,1,NJ,11.25,1,0,0,0
264,0,NJ,5,1,0,0,0
264,1,NJ,11.5,1,0,0,0
265,0,NJ,10,1,0,0,0
265,1,NJ,0,1,0,0,0
267,0,NJ,16.5,1,0,0,0
267,1,NJ,42.5,1,0,0,0
268,0,NJ,19,1,0,0,0
268,1,NJ,21.25,1,0,0,0
269,0,NJ,7,0,1,0,0
269,1,NJ,11.5,0,1,0,0
271,0,NJ,6.5,0,1,0,0
271,1,NJ,7.5,0,1,0,0
272,0,NJ,9.5,0,1,0,0
272,1,NJ,9,0,1,0,0
273,0,NJ,9,0,1,0,0
273,1,NJ,7.5,0,1,0,0
274,0,NJ,7.5,0,1,0,0
274,1,NJ,6.5,0,1,0,0
275,0,NJ,6,0,1,0,0
275,1,NJ,5,0,1,0,0
276,0,NJ,10,0,1,0,0
276,1,NJ,12.5,0,1,0,0
277,0,NJ,9.5,0,1,0,0
277,1,NJ,8,0,1,0,0
278,0,NJ,5,0,1,0,0
278,1,NJ,4.5,0,1,0,0
282,0,NJ,9,0,0,1,0
282,1,NJ,0,0,0,1,0
284,0,NJ,16.5,0,0,1,0
284,1,NJ,12,0,0,1,0
285,0,NJ,15.5,0,0,1,0
285,1,NJ,10.5,0,0,1,0
286,0,NJ,8.5,0,0,1,0
286,1,NJ,9.5,0,0,1,0
287,0,NJ,12,0,0,1,0
287,1,NJ,9.5,0,0,1,0
288,0,NJ,10,0,0,1,0
288,1,NJ,9.5,0,0,1,0
289,0,NJ,8,0,0,1,0
289,1,NJ,8,0,0,1,0
290,0,NJ,14,0,0,0,1
290,1,NJ,11.5,0,0,0,1
291,0,NJ,14,0,0,0,1
291,1,NJ,13,0,0,0,1
292,0,NJ,17.5,0,0,0,1
292,1,NJ,20.5,0,0,0,1
294,0,NJ,17.5,1,0,0,0
294,1,NJ,17.5,1,0,0,0
295,0,NJ,12.5,1,0,0,0
295,1,NJ,,1,0,0,0
296,0,NJ,13,1,0,0,0
296,1,NJ,8.5,1,0,0,0
297,0,NJ,16.5,1,0,0,0
297,1,NJ,30,1,0,0,0
299,0,NJ,7,0,1,0,0
299,1,NJ,12,0,1,0,0
301,0,NJ,14,0,1,0,0
301,1,NJ,5.5,0,1,0,0
303,0,NJ,27.5,0,0,1,0
303,1,NJ,29.5,0,0,1,0
304,0,NJ,20,0,0,1,0
304,1,NJ,17.5,0,0,1,0
305,0,NJ,10,0,0,1,0
305,1,NJ,16,0,0,1,0
306,0,NJ,22.5,0,0,1,0
306,1,NJ,16,0,0,1,0
307,0,NJ,26.25,0,0,1,0
307,1,NJ,37.5,0,0,1,0
310,0,NJ,14,0,0,0,1
310,1,NJ,14.5,0,0,0,1
311,0,NJ,15,0,0,0,1
311,1,NJ,50,0,0,0,1
312,0,NJ,7,1,0,0,0
312,1,NJ,4,1,0,0,0
313,0,NJ,15.5,1,0,0,0
313,1,NJ,15,1,0,0,0
314,0,NJ,14,1,0,0,0
314,1,NJ,18,1,0,0,0
315,0,NJ,14.5,1,0,0,0
315,1,NJ,14.5,1,0,0,0
316,0,NJ,22.5,1,0,0,0
316,1,NJ,19,1,0,0,0
317,0,NJ,4,1,0,0,0
317,1,NJ,4,1,0,0,0
318,0,NJ,8.5,0,1,0,0
318,1,NJ,10,0,1,0,0
319,0,NJ,5.5,0,1,0,0
319,1,NJ,24,0,1,0,0
320,0,NJ,9.5,0,1,0,0
320,1,NJ,7,0,1,0,0
321,0,NJ,10,0,1,0,0
321,1,NJ,9.5,0,1,0,0
322,0,NJ,14.5,0,0,1,0
322,1,NJ,14.5,0,0,1,0
324,0,NJ,43,0,0,1,0
324,1,NJ,41.5,0,0,1,0
325,0,NJ,11.5,0,0,1,0
325,1,NJ,8.5,0,0,1,0
326,0,NJ,40.5,0,0,1,0
326,1,NJ,22.5,0,0,1,0
330,0,NJ,12,0,0,0,1
330,1,NJ,13,0,0,0,1
333,0,NJ,10.25,1,0,0,0
333,1,NJ,13,1,0,0,0
334,0,NJ,15,1,0,0,0
334,1,NJ,10,1,0,0,0
335,0,NJ,14,1,0,0,0
335,1,NJ,13.5,1,0,0,0
336,0,NJ,34,1,0,0,0
336,1,NJ,20,1,0,0,0
337,0,NJ,19.75,1,0,0,0
337,1,NJ,27.5,1,0,0,0
339,0,NJ,21,1,0,0,0
339,1,NJ,9.5,1,0,0,0
340,0,NJ,21,1,0,0,0
340,1,NJ,23.5,1,0,0,0
341,0,NJ,5.5,0,1,0,0
341,1,NJ,6.5,0,1,0,0
343,0,NJ,13,0,1,0,0
343,1,NJ,9.5,0,1,0,0
346,0,NJ,7.25,0,1,0,0
346,1,NJ,9,0,1,0,0
348,0,NJ,8.25,0,0,1,0
348,1,NJ,0,0,0,1,0
349,0,NJ,16,0,0,1,0
349,1,NJ,10,0,0,1,0
350,0,NJ,12.5,0,0,1,0
350,1,NJ,15,0,0,1,0
351,0,NJ,15.75,0,0,1,0
351,1,NJ,20,0,0,1,0
352,0,NJ,9.5,0,0,1,0
352,1,NJ,,0,0,1,0
353,0,NJ,18.75,0,0,1,0
353,1,NJ,,0,0,1,0
354,0,NJ,17.5,0,0,0,1
354,1,NJ,12.5,0,0,0,1
355,0,NJ,10.5,0,0,0,1
355,1,NJ,11.5,0,0,0,1
356,0,NJ,16.5,0,0,0,1
356,1,NJ,14,0,0,0,1
357,0,NJ,14.5,0,0,0,1
357,1,NJ,24,0,0,0,1
359,0,NJ,11,1,0,0,0
359,1,NJ,13,1,0,0,0
360,0,NJ,15.5,1,0,0,0
360,1,NJ,21,1,0,0,0
361,0,NJ,12.5,1,0,0,0
361,1,NJ,15.5,1,0,0,0
362,0,NJ,12.5,0,1,0,0
362,1,NJ,26,0,1,0,0
363,0,NJ,12.5,0,1,0,0
363,1,NJ,17.5,0,1,0,0
364,0,NJ,13.5,0,1,0,0
364,1,NJ,16,0,1,0,0
366,0,NJ,10.5,0,0,1,0
366,1,NJ,10.5,0,0,1,0
368,0,NJ,10,0,0,0,1
368,1,NJ,12.5,0,0,0,1
369,0,NJ,7.5,1,0,0,0
369,1,NJ,0,1,0,0,0
370,0,NJ,25.75,1,0,0,0
370,1,NJ,28.5,1,0,0,0
371,0,NJ,23.5,1,0,0,0
371,1,NJ,22,1,0,0,0
372,0,NJ,22.5,1,0,0,0
372,1,NJ,40,1,0,0,0
373,0,NJ,20,1,0,0,0
373,1,NJ,25.5,1,0,0,0
375,0,NJ,30,1,0,0,0
375,1,NJ,12.5,1,0,0,0
376,0,NJ,9,1,0,0,0
376,1,NJ,8.5,1,0,0,0
377,0,NJ,15,1,0,0,0
377,1,NJ,17,1,0,0,0
378,0,NJ,14,1,0,0,0
378,1,NJ,27.5,1,0,0,0
379,0,NJ,26,1,0,0,0
379,1,NJ,31,1,0,0,0
380,0,NJ,17.5,1,0,0,0
380,1,NJ,22,1,0,0,0
381,0,NJ,20,1,0,0,0
381,1,NJ,22.5,1,0,0,0
383,0,NJ,8,1,0,0,0
383,1,NJ,8,1,0,0,0
384,0,NJ,,1,0,0,0
384,1,NJ,15,1,0,0,0
385,0,NJ,23,1,0,0,0
385,1,NJ,22,1,0,0,0
386,0,NJ,9.5,1,0,0,0
386,1,NJ,19,1,0,0,0
391,0,NJ,17.5,0,1,0,0
391,1,NJ,15.5,0,1,0,0
393,0,NJ,9,0,1,0,0
393,1,NJ,20,0,1,0,0
396,0,NJ,32,0,0,1,0
396,1,NJ,23,0,0,1,0
397,0,NJ,18,0,0,1,0
397,1,NJ,13.5,0,0,1,0
398,0,NJ,20.5,0,0,1,0
398,1,NJ,32.5,0,0,1,0
399,0,NJ,17,0,0,1,0
399,1,NJ,27,0,0,1,0
400,0,NJ,23.5,0,0,1,0
400,1,NJ,20,0,0,1,0
401,0,NJ,11,0,0,1,0
401,1,NJ,18.5,0,0,1,0
402,0,NJ,16,0,0,1,0
402,1,NJ,19.5,0,0,1,0
403,0,NJ,28.5,0,0,1,0
403,1,NJ,22.5,0,0,1,0
405,0,NJ,14.5,0,0,1,0
405,1,NJ,9,0,0,1,0
406,0,NJ,29.5,0,0,0,1
406,1,NJ,28,0,0,0,1
407,0,PA,8,0,1,0,0
407,0,NJ,10,0,0,0,1
407,1,PA,8,0,1,0,0
407,1,NJ,11.5,0,0,0,1
409,0,NJ,33,1,0,0,0
409,1,NJ,7.5,1,0,0,0
410,0,NJ,17.5,1,0,0,0
410,1,NJ,17.5,1,0,0,0
411,0,NJ,18,1,0,0,0
411,1,NJ,22,1,0,0,0
412,0,NJ,8.5,0,1,0,0
412,1,NJ,6.5,0,1,0,0
413,0,NJ,18,1,0,0,0
413,1,NJ,10,1,0,0,0
414,0,NJ,18,1,0,0,0
414,1,NJ,17.5,1,0,0,0
415,0,NJ,24,1,0,0,0
415,1,NJ,19,1,0,0,0
417,0,NJ,18,1,0,0,0
417,1,NJ,21.5,1,0,0,0
418,0,NJ,37.5,1,0,0,0
418,1,NJ,17.5,1,0,0,0
419,0,NJ,8,0,1,0,0
419,1,NJ,7.5,0,1,0,0
421,0,NJ,25,0,1,0,0
421,1,NJ,28.5,0,1,0,0
422,0,NJ,3.5,0,1,0,0
422,1,NJ,10,0,1,0,0
423,0,NJ,7,0,1,0,0
423,1,NJ,20.75,0,1,0,0
424,0,NJ,6.75,0,1,0,0
424,1,NJ,13.5,0,1,0,0
426,0,NJ,19.5,0,0,1,0
426,1,NJ,17.5,0,0,1,0
427,0,NJ,11,0,0,0,1
427,1,NJ,17.5,0,0,0,1
428,0,NJ,16.5,0,0,0,1
428,1,NJ,22,0,0,0,1
430,0,PA,32.5,1,0,0,0
430,1,PA,24,1,0,0,0
432,0,PA,47.5,1,0,0,0
432,1,PA,30,1,0,0,0
433,0,PA,25,1,0,0,0
433,1,PA,21,1,0,0,0
434,0,PA,40,1,0,0,0
434,1,PA,33.5,1,0,0,0
435,0,PA,19.75,1,0,0,0
435,1,PA,16,1,0,0,0
438,0,PA,4.5,0,1,0,0
438,1,PA,6.5,0,1,0,0
440,0,PA,12.5,0,0,0,1
440,1,PA,15,0,0,0,1
441,0,PA,35,0,0,0,1
441,1,PA,15,0,0,0,1
443,0,PA,13.5,0,0,0,1
443,1,PA,15,0,0,0,1
444,0,PA,22,0,0,0,1
444,1,PA,27.5,0,0,0,1
445,0,PA,67.5,1,0,0,0
445,1,PA,24,1,0,0,0
446,0,PA,,1,0,0,0
446,1,PA,19,1,0,0,0
448,0,PA,17,1,0,0,0
448,1,PA,21.5,1,0,0,0
449,0,PA,12.5,1,0,0,0
449,1,PA,22.5,1,0,0,0
450,0,PA,12.5,1,0,0,0
450,1,PA,31.5,1,0,0,0
451,0,PA,18.5,1,0,0,0
451,1,PA,30.5,1,0,0,0
454,0,PA,5.5,0,1,0,0
454,1,PA,9,0,1,0,0
455,0,PA,6,0,1,0,0
455,1,PA,9,0,1,0,0
458,0,PA,7,0,1,0,0
458,1,PA,6.5,0,1,0,0
459,0,PA,15,0,0,1,0
459,1,PA,10,0,0,1,0
462,0,PA,12.5,0,0,1,0
462,1,PA,13.5,0,0,1,0
466,0,PA,16.75,0,0,0,1
466,1,PA,20,0,0,0,1
468,0,PA,55,1,0,0,0
468,1,PA,25,1,0,0,0
469,0,PA,21.5,1,0,0,0
469,1,PA,26.5,1,0,0,0
470,0,PA,25.5,1,0,0,0
470,1,PA,23,1,0,0,0
471,0,PA,35,1,0,0,0
471,1,PA,23.5,1,0,0,0
472,0,PA,38.5,1,0,0,0
472,1,PA,20.5,1,0,0,0
473,0,PA,18.5,1,0,0,0
473,1,PA,33.5,1,0,0,0
474,0,PA,10.5,1,0,0,0
474,1,PA,15,1,0,0,0
475,0,PA,29,1,0,0,0
475,1,PA,18,1,0,0,0
476,0,PA,21,1,0,0,0
476,1,PA,20,1,0,0,0
477,0,PA,22,1,0,0,0
477,1,PA,16,1,0,0,0
478,0,PA,44.5,1,0,0,0
478,1,PA,23,1,0,0,0
481,0,PA,13.75,0,1,0,0
481,1,PA,17,0,1,0,0
483,0,PA,8.5,0,1,0,0
483,1,PA,10.5,0,1,0,0
485,0,PA,5.5,0,1,0,0
485,1,PA,10,0,1,0,0
487,0,PA,13,0,0,1,0
487,1,PA,16,0,0,1,0
488,0,PA,26.5,0,0,1,0
488,1,PA,12.5,0,0,1,0
489,0,PA,16.5,0,0,1,0
489,1,PA,11.5,0,0,1,0
490,0,PA,16.25,0,0,1,0
490,1,PA,11,0,0,1,0
491,0,PA,16.5,0,0,1,0
491,1,PA,0,0,0,1,0
492,0,PA,10,0,0,1,0
492,1,PA,11.5,0,0,1,0
493,0,PA,33,0,0,1,0
493,1,PA,15,0,0,1,0
495,0,PA,18,0,0,1,0
495,1,PA,18,0,0,1,0
496,0,PA,17.5,0,0,1,0
496,1,PA,15,0,0,1,0
497,0,PA,19.5,0,0,0,1
497,1,PA,,0,0,0,1
498,0,PA,25,0,0,0,1
498,1,PA,23.75,0,0,0,1
499,0,PA,14,0,0,0,1
499,1,PA,15.5,0,0,0,1
501,0,PA,21.5,1,0,0,0
501,1,PA,37.5,1,0,0,0
503,0,PA,14.5,1,0,0,0
503,1,PA,38.25,1,0,0,0
506,0,PA,6.5,0,1,0,0
506,1,PA,6.5,0,1,0,0
509,0,PA,11,0,0,1,0
509,1,PA,10.5,0,0,1,0
510,0,PA,19.5,0,0,1,0
510,1,PA,11.25,0,0,1,0
511,0,PA,12,0,0,1,0
511,1,PA,9.5,0,0,1,0
514,0,PA,15,0,0,1,0
514,1,PA,31,0,0,1,0
515,0,PA,15,0,0,1,0
515,1,PA,14.5,0,0,1,0
516,0,PA,17.25,0,0,1,0
516,1,PA,8,0,0,1,0
521,0,PA,12.5,1,0,0,0
521,1,PA,6,1,0,0,0
522,0,PA,17,1,0,0,0
522,1,PA,14.5,1,0,0,0
